,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
3602,Feature,Lack of awareness to use it's fetures,General Feature,General Feature - Lack of Feature Awareness,Low,Neutral
3603,Feature,"Lacking specific ayat search option, lacking colored and shaded first line of each Para start, of sajda, ruba, nisaf and salasa.",Quran Reading Features,Quran Reading Features - Missing Ayat Search and UI Elements,Low,Neutral
3604,Accuracy,Lafz agy pechy h thory se,General Accuracy,General Accuracy - Hadees Accuracy Issues,Medium,Negative
3605,Feature,Lafz ba lafz or bamuhavra translation ikathi b honi chahiye,Translations & Tafseer,Translations & Tafseer - Word-for-Word Translation Request,Low,Neutral
3606,Feature,"Lafz ba lafz tarjma ka option hona chahiaye
Baqi Jo Kuch Ap ne kar dia hai ALLAH pak ap ko dhairrrrrrrrrrrr nawwzy ap ki Dili moradin poori farmaye ap k walidain ki bukhshash farmaye Ameen Suma Ameen",Translations & Tafseer,Translations & Tafseer - Word-for-Word Translation Request,Low,Positive
3607,Feature,Lafzi tarjumy pr Thora or Kam kre,Translations & Tafseer,Translations & Tafseer - Translation Quality Improvement,Low,Neutral
3608,Slow,Lagging,General Slow,General Slow - App Lagging Issues,Medium,Negative
3609,Feature,Landscape mode b zoom hona chahiay  line PDF main..,General Feature,General Feature - Landscape Mode PDF Zoom Request,Low,Neutral
3610,Feature,Landscape view while moving page requires,Quran Reading Features,Quran Reading Features - Landscape View Request,Low,Neutral
3611,Feature,Language hindi not available but ok so good,Translations & Tafseer,Translations & Tafseer - Hindi Translation Request,Low,Neutral
3612,Feature,Languages are too less,Translations & Tafseer,Translations & Tafseer - Missing Language Options,Low,Neutral
3613,Feature,Last read bookmark isn't automatic anymore which makes going to last read ayah more time taking and complex. Making it automatic will help in shaa Allah.,Quran Reading Features,Quran Reading Features - Automatic Bookmarking Issue,Medium,Neutral
3614,Feature,Last read facility can b auto,General Feature,General Feature - Last Read Facility Request,Low,Neutral
3615,Feature,Last read option to be included.,General Feature,General Feature - Last Read Option Request,Low,Neutral
3616,Feature,Last read or all in one page may help more,General Feature,General Feature - Last Read or All in One Page Request,Low,Neutral
3617,Feature,Last read or listened is available in Arabic + translation [audio]+Tafseer [audio],Translations & Tafseer,Translations & Tafseer - Last Read Audio Feature,Low,Neutral
3618,Feature,Last remember require for every surah,General Feature,General Feature - Last Remember Feature Request,Low,Neutral
3619,UI,Last sceen must be improve,Visual Design,Visual Design - UI Improvement Request,Low,Neutral
3620,Bug,Last seems remains same even after clicking another,General Bug,General Bug - UI Element Not Updating,Medium,Negative
3621,Feature,Last seen Mark should be included,General Feature,General Feature - Last Seen Mark Request,Low,Neutral
3622,Feature,Last seen ek se zyada hone chaye thake ek se zyada user app use krhe ho to parhne mein mushkil na ho. Jazakallahi khaira,General Feature,General Feature - Last Seen User Count Request,Low,Positive
3623,Feature,Last seen feature is not very useful,General Feature,General Feature - Last Seen Feature Feedback,Low,Negative
3624,Bug,Last seen function is not working well,General Bug,General Bug - Last Seen Functionality Issues,Medium,Negative
3625,Feature,"Last seen in quran is difficult to search,do provide a feature like last seen in hadith",Quran Reading Features,Quran Reading Features - Last Seen Search Feature Request,Low,Neutral
3626,Bug,"Last seen is not correct 
Book Mark also not always correct, when I disconnect BT it stock.",General Bug,General Bug - Bookmark and Last Seen Issues,Medium,Negative
3627,Feature,Last seen ka jo option maujood hai wo sirf ek martaba hi istemaal ker paarahe hai maslan. Daily quraan ka mutala aur Friday surah kahaf ka mutala agar surah kahaf k mutala k dauraan humein last seen mark kerna ho thu daily quraan ka mutala k last ko chodn,Quran Reading Features,Quran Reading Features - Last Seen Functionality Issue,Low,Neutral
3628,Accuracy,Last seen need more accuracy,General Accuracy,General Accuracy - Last Seen Accuracy Issues,Medium,Neutral
3629,UI,Last seen needs improvement. When reopen last seen shows next page,Navigation Difficulty,Navigation Difficulty - Last Seen Functionality Issues,Medium,Negative
3630,Feature,Last seen nh hy,General Feature,General Feature - Last Seen Feature Request,Medium,Negative
3631,Bug,Last seen not save,General Bug,General Bug - Last Seen Feature Not Saving,Medium,Negative
3632,Feature,Last seen option auto save,General Feature,General Feature - Last Seen Option Auto Save,Low,Neutral
3633,Feature,Last seen option should be used both for surah and parah at the same time,General Feature,General Feature - Last Seen Option for Surah and Parah,Low,Neutral
3634,Feature,Last seen per jo mark lagate hai us mein date bhi aa jaye to behtar honga take insan ko pata chale ke kitne time baad Quran par raha hai,Quran Reading Features,Quran Reading Features - Last Seen Date Feature Request,Low,Neutral
3635,UI,Last seen should have seperate space on front,Visual Design,Visual Design - UI Element Layout,Low,Neutral
3636,UI,Last seen system need little bit maintenance,General UI,General UI - Last Seen System Maintenance,Low,Neutral
3637,Feature,Last seen tab should be add on raster.while reciting Quran.,Quran Reading Features,Quran Reading Features - Last Seen Tab Request,Low,Neutral
3638,Other,Last version was good,General Other,General Other - Positive Feedback,Low,Positive
3639,Other,Later,General Other,General Other - General Issues,Low,Neutral
3640,UI,Lay out or interface of app should be more user friendly,Visual Design,Visual Design - User Interface Friendliness,Low,Neutral
3641,Other,Learning for Best,General Other,General Other - Learning Resources Request,Low,Neutral
3642,Feature,Learning of tajweed and addition of more ulma for tafseer,Translations & Tafseer,Translations & Tafseer - Tajweed Learning and Tafseer Expansion,Low,Neutral
3643,Feature,Learning,General Feature,General Feature - Learning Resources Request,Low,Neutral
3644,Ads,Less ads,General Ads,General Ads - Ad Frequency Concern,Medium,Neutral
3645,Ads,"Less advertisement, para number given, easy way to search an ayat",Excessive Ads Frequency,Excessive Ads Frequency - Advertisement Reduction Request,Medium,Neutral
3646,Feature,Less voice of qaris,General Feature,General Feature - Audio Quality of Qaris,Low,Neutral
3647,Ads,Lesser ads plz,Excessive Ads Frequency,Excessive Ads Frequency - Ad Frequency Reduction Request,Medium,Negative
3648,Ads,Lesser ads would be a great improvement. I get that ads may be important for you guys but they literally pop up after every click. Thank you!,Excessive Ads Frequency,Excessive Ads Frequency - Ads Frequency Improvement,Medium,Negative
3649,Feature,"Let us copy, share link. Arabic dictionary - more word to word meaning.",General Feature,General Feature - Arabic Dictionary Enhancement,Low,Neutral
3650,Feature,Let us have different colored bookmarks,Quran Reading Features,Quran Reading Features - Bookmark Color Customization,Low,Neutral
3651,UI,Letter size in Arabic it should be big,Visual Design,Visual Design - Arabic Letter Size Adjustment,Low,Neutral
3652,Feature,Letter zoom kar ke buzurgo ke lia bary alfaz ka option de kr isy mazeed behtr bnaya na sakta he,Quran Reading Features,Quran Reading Features - Font Size Adjustment Request,Low,Neutral
3653,UI,Light mode activated automatic solve this problem,Visual Design,Visual Design - Light Mode Activation Issue,Medium,Negative
3654,Feature,Like I m reciting a para..and I left at a ruqu then after opening the app there is no feature to skip to that ruqu,Quran Reading Features,Quran Reading Features - Missing Ruqu Navigation,Medium,Negative
3655,Feature,Like giving the time of the passed prayers,Prayer Times & Azan,Prayer Times & Azan - Past Prayer Time Notification,Low,Neutral
3656,Other,Like it,General Other,General Other - General Feedback,Low,Positive
3657,Other,Like,General Other,General Other - General Feedback,Low,Positive
3658,Feature,Lisson us and tell us weather we are reciting right or wrong۔ also tfseer of خزائن العرفان,Translations & Tafseer,Translations & Tafseer - Tafseer Request for خزائن العرفان,Medium,Neutral
3659,Feature,Listen Quran of every Qari telly with Holy Quran and then correct,Quran Reading Features,Quran Reading Features - Audio Correction for Qari,Medium,Neutral
3660,Feature,Listen all tha tafseer and remember where is my last sabak,General Feature,General Feature - Tafseer Audio Bookmarking,Low,Neutral
3661,Feature,Listen surah abbas please.,General Feature,General Feature - Quran Audio Request,Low,Neutral
3662,Accuracy,Listen to what the users are telling you about the errors in your app content.  There is no point of conducting these surveys if you don't want to improve your quality.  JazakAllah Khair,General Accuracy,General Accuracy - Content Error Reporting,High,Negative
3663,Other,Listen,General Other,General Other - General Issues,Low,Neutral
3664,Accuracy,"Listened Quran Translation (Urdu Tarjuma Maududi), and found Urdu translation missing for some Ayahs. There should be a system to give feedback with the Surah Recitation or in general so that one can inform you about shortcoming which may be rectified aft",General Accuracy,General Accuracy - Missing Urdu Translation for Ayahs,Medium,Negative
3665,Feature,Literally I love ur work. But please improve background audio player system & make it efficient like anyother audio player available on Playstore♥️♥️♥️,Audio Playback Issues,Audio Playback Issues - Background Audio Player Improvement,Medium,Positive
3666,Feature,Little bit improvement required,General Feature,General Feature - General Issues,Low,Neutral
3667,Feature,Little difficult while searching any surah.Need to improve.,Search Functionality,Search Functionality - Quran Search Issues,Medium,Neutral
3668,Other,Little little,General Other,General Other - General Issues,Low,Neutral
3669,Accuracy,Little mistakes of urdu translation should be correct in some places.,General Accuracy,General Accuracy - Urdu Translation Corrections,Low,Neutral
3670,Other,Lk,General Other,General Other - General Issues,Low,Neutral
3671,Feature,Looking for Arabic Transliteration,Translations & Tafseer,Translations & Tafseer - Arabic Transliteration Request,Low,Neutral
3672,Feature,Looking for hadith can be made simpler,General Feature,General Feature - Hadees Search Simplification,Low,Neutral
3673,Feature,Looking forward for more qaris and tajweed colorful Quran option,Quran Reading Features,Quran Reading Features - Tajweed and Qaris Options,Low,Positive
3674,Bug,Lost my last seen again and again,General Bug,General Bug - Last Seen Feature Issues,Medium,Negative
3675,Bug,Lost reading history,General Bug,General Bug - Reading History Missing,Medium,Negative
3676,Ads,Lot of ads,Excessive Ads Frequency,Excessive Ads Frequency - General Issues,Medium,Negative
3677,Ads,Lot of advertisements,Excessive Ads Frequency,Excessive Ads Frequency - High Advertisement Volume,Medium,Negative
3678,Accuracy,Lot of mistake,General Accuracy,General Accuracy - General Issues,High,Negative
3679,Ads,Lot off adds,Excessive Ads Frequency,Excessive Ads Frequency - General Issues,Medium,Negative
3680,Feature,Lot to improve,General Feature,General Feature - General Issues,Low,Neutral
